ID,Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seats Available
1,Chandigarh to Delhi Bus,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,Chandigarh Transport Undertaking (CTU) - 165697,HVAC Seater (2+3),14:00,05h 35m,19:35,3.4,INR 404.76,39 Seats available
2,Chandigarh to Delhi Bus,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,Chandigarh Transport Undertaking (CTU) - 165709,HVAC Seater (2+3),14:30,05h 35m,20:05,3.9,INR 404.76,31 Seats available
3,Chandigarh to Delhi Bus,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,Chandigarh Transport Undertaking (CTU) - 165720,HVAC Seater (2+3),15:30,05h 35m,21:05,3.9,INR 404.76,35 Seats available
4,Chandigarh to Delhi Bus,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,Chandigarh Transport Undertaking (CTU) - 165722,HVAC Seater (2+3),16:30,05h 35m,22:05,3.4,INR 404.76,39 Seats available
5,Chandigarh to Delhi Bus,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,Chandigarh Transport Undertaking (CTU) - 165724,HVAC Seater (2+3),17:00,05h 35m,22:35,3.5,INR 404.76,31 Seats available
6,Chandigarh to Delhi Bus,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,Chandigarh Transport Undertaking (CTU) - 165726,HVAC Seater (2+3),17:30,05h 35m,23:05,4.5,INR 404.76,31 Seats available
7,Chandigarh to Delhi Bus,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,NueGo,Electric A/C Seater (2+2),12:15,05h 15m,17:30,3.5,356,41 Seats available
8,Chandigarh to Delhi Bus,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),12:15,05h 45m,18:00,4.5,INR 399,43 Seats available
9,Chandigarh to Delhi Bus,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),12:40,05h 20m,18:00,4.5,INR 399,43 Seats available
10,Chandigarh to Delhi Bus,https://www.redbus.in/bus-tickets/chandigarh-to-delhi?fromCityId=833&toCityId=733&fromCityName=Chandigarh&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),13:00,06h 30m,19:30,4.8,416,33 Seats available
