ID,Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seats Available
1,Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,HRTC - 532,Ordinary 3+2 Non AC Seater,17:59,10h 16m,04:15,2.0,INR 512,4 Seats available
2,Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,HRTC - 538,Ordinary 3+2 Non AC Seater,18:31,10h 59m,05:30,4.0,INR 507,24 Seats available
3,Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,19:35,09h 10m,04:45,3.6,INR 892,10 Seats available
4,Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,HRTC - 301,Ordinary 3+2 Non AC Seater,19:43,09h 47m,05:30,4.2,INR 507,26 Seats available
5,Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,HRTC - 556,Ordinary 3+2 Non AC Seater,20:10,09h 35m,05:45,4.5,INR 507,21 Seats available
6,Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,HRTC - 591,A/C Executive (2+3),21:00,11h 15m,08:15,3.8,INR 622,32 Seats available
7,Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,21:02,09h 28m,06:30,4.4,INR 892,7 Seats available
8,Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,HRTC - 570,Ordinary 3+2 Non AC Seater,21:25,09h 20m,06:45,3.6,INR 507,37 Seats available
9,Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,HRTC - 20,Himsuta AC Seater Volvo/Scania 2+2,21:36,07h 54m,05:30,3.8,INR 867,3 Seats available
10,Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla?fromCityId=733&toCityId=1285&fromCityName=Delhi&toCityName=Shimla&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,HRTC - 518,Ordinary 3+2 Non AC Seater,21:58,09h 17m,07:15,3.3,INR 507,27 Seats available
