ID,Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seats Available
1,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:04,09h 20m,04:24,4.1,INR 640,19 Seats available
2,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,08h 25m,04:25,3.6,INR 473,20 Seats available
3,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,KSRTC (Kerala) - 1585,Super Deluxe Non AC Seater Air Bus (2+2),20:31,09h 05m,05:36,3.7,INR 640,32 Seats available
4,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,KSRTC (Kerala) - 1586,Super Deluxe Non AC Seater Air Bus (2+2),21:31,09h 05m,06:36,3.2,INR 640,35 Seats available
5,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:12,09h 24m,07:36,4.1,INR 640,31 Seats available
6,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,KSRTC (Kerala) - 2063,SWIFT-GARUDA A/C SEATER BUS,22:32,09h 03m,07:35,4.3,INR 627,19 Seats available
7,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,KSRTC (Kerala) - 574,Super Deluxe Non AC Seater Air Bus (2+2),23:00,10h 30m,09:30,3.8,INR 469,16 Seats available
8,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,KSRTC (Kerala) - 583,Super Deluxe Non AC Seater Air Bus (2+2),23:30,10h 05m,09:35,3.9,INR 469,29 Seats available
9,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,KSRTC (Kerala) - 56,SWIFT-GARUDA A/C SEATER BUS,23:41,09h 24m,09:05,3.8,INR 627,23 Seats available
10,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,MMK Travels,VE A/C Seater / Sleeper (2+1),22:30,09h 00m,07:30,4.5,INR 700,22 Seats available
11,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,Silver Line Travels,NON A/C Semi Sleeper (2+2),22:00,08h 10m,06:10,4.5,INR 599,32 Seats available
12,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,10h 00m,09:00,4.3,INR 599,21 Seats available
13,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,AdSURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),21:00,10h 30m,07:30,4.0,INR 700,33 Seats available
14,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,NS Transports,VE A/C Sleeper (2+1),22:45,08h 45m,07:30,4.2,INR 950,10 Seats available
15,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,NS Transports,Non A/C Seater / Sleeper (2+1),21:45,08h 25m,06:10,4.1,INR 650,14 Seats available
16,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,P K Travels,A/C Sleeper (2+1),18:45,11h 45m,06:30,4.2,INR 900,17 Seats available
17,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,AdDA Transports,A/C Sleeper (2+1),21:45,09h 15m,07:00,3.4,648,21 Seats available
18,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,DLT BUS,A/C Sleeper (2+1),22:30,09h 00m,07:30,3.9,INR 899,12 Seats available
19,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,Suraj Holidays,VE A/C Sleeper (2+1),22:30,09h 00m,07:30,3.9,INR 850,21 Seats available
20,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,NS Transports,Non A/C Seater / Sleeper (2+1),22:15,08h 15m,06:30,4.0,INR 650,3 Seats available
21,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,National travels and logistics,NON A/C Sleeper (2+1),22:45,07h 45m,06:30,3.8,649,16 Seats available
22,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:00,09h 05m,07:05,3.8,INR 799,23 Seats available
23,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:00,08h 30m,05:30,3.8,INR 899,22 Seats available
24,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,P K Travels,A/C Sleeper (2+1),21:45,08h 45m,06:30,3.5,INR 800,20 Seats available
25,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,A1 Travels,Non A/C Seater / Sleeper (2+1),21:00,09h 45m,06:45,3.3,INR 500,33 Seats available
26,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,SAAM BUS,Bharat Benz A/C Sleeper (2+1),20:10,10h 35m,06:45,4.1,739,16 Seats available
27,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,SKS Tours & Travels,A/C Sleeper (2+1),21:15,08h 30m,05:45,4.3,INR 849,23 Seats available
28,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,Kalpaka Travels,NON A/C Semi Sleeper (2+2),22:00,08h 30m,06:30,3.2,712,28 Seats available
29,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,SRS Travels,A/C Sleeper (2+1),21:45,08h 55m,06:40,2.3,648,16 Seats available
30,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,Suraj Holidays,NON AC Seater / Sleeper 2+1,20:30,09h 30m,06:00,3.4,INR 700,15 Seats available
31,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,A1 Travels,A/C Seater / Sleeper (2+1),21:45,09h 15m,07:00,2.3,INR 600,31 Seats available
32,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,NS Transports,NON A/C Sleeper (2+1),22:30,08h 15m,06:45,1.9,INR 699,17 Seats available
33,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,Bharathi Travels,A/C Sleeper (2+1),23:45,08h 15m,08:00,2.2,INR 690,20 Seats available
34,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,P K Travels,Non A/C Seater / Sleeper (2+1),19:15,10h 00m,05:15,3.6,INR 700,20 Seats available
35,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),20:45,10h 00m,06:45,2.4,INR 650,31 Seats available
36,Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode?fromCityId=122&toCityId=74661&fromCityName=Bangalore&toCityName=Kozhikode&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,Vijay Lines,A/C Seater / Sleeper (2+1),22:20,08h 40m,07:00,1.7,INR 1188,40 Seats available
