ID,Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seats Available
1,Ludhiana to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi?fromCityId=736&toCityId=733&fromCityName=Ludhiana&toCityName=Delhi&busType=Any&srcCountry=null&destCountry=IND&onward=27-Jul-2024,PEPSU (Punjab) - 67098,Volvo AC Seater (2+2),19:50,07h 35m,03:25,4.5,INR 845,30 Seats available
2,Ludhiana to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi?fromCityId=736&toCityId=733&fromCityName=Ludhiana&toCityName=Delhi&busType=Any&srcCountry=null&destCountry=IND&onward=27-Jul-2024,PEPSU (Punjab) - 67128,Volvo AC Seater (2+2),20:50,07h 00m,03:50,4.6,INR 845,34 Seats available
3,Ludhiana to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi?fromCityId=736&toCityId=733&fromCityName=Ludhiana&toCityName=Delhi&busType=Any&srcCountry=null&destCountry=IND&onward=27-Jul-2024,PEPSU (Punjab) - 67164,Volvo AC Seater (2+2),21:50,05h 59m,03:49,4.1,INR 845,33 Seats available
4,Ludhiana to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi?fromCityId=736&toCityId=733&fromCityName=Ludhiana&toCityName=Delhi&busType=Any&srcCountry=null&destCountry=IND&onward=27-Jul-2024,Yolo Bus,VE A/C Seater / Sleeper (2+1),22:27,06h 33m,05:00,4.5,INR 400,16 Seats available
5,Ludhiana to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi?fromCityId=736&toCityId=733&fromCityName=Ludhiana&toCityName=Delhi&busType=Any&srcCountry=null&destCountry=IND&onward=27-Jul-2024,IntrCity SmartBus,AC Sleeper (2+1),22:50,06h 55m,05:45,4.4,INR 564,11 Seats available
6,Ludhiana to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi?fromCityId=736&toCityId=733&fromCityName=Ludhiana&toCityName=Delhi&busType=Any&srcCountry=null&destCountry=IND&onward=27-Jul-2024,Laxmi holidays,VE A/C Sleeper (2+1),23:55,06h 50m,06:45,4.5,570,24 Seats available
7,Ludhiana to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi?fromCityId=736&toCityId=733&fromCityName=Ludhiana&toCityName=Delhi&busType=Any&srcCountry=null&destCountry=IND&onward=27-Jul-2024,AdArmaan Tour & Travels,A/C Seater / Sleeper (2+1),22:50,07h 10m,06:00,3.8,454,30 Seats available
8,Ludhiana to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi?fromCityId=736&toCityId=733&fromCityName=Ludhiana&toCityName=Delhi&busType=Any&srcCountry=null&destCountry=IND&onward=27-Jul-2024,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,07h 35m,06:20,4.7,INR 607,12 Seats available
9,Ludhiana to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi?fromCityId=736&toCityId=733&fromCityName=Ludhiana&toCityName=Delhi&busType=Any&srcCountry=null&destCountry=IND&onward=27-Jul-2024,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:55,06h 10m,06:05,4.3,INR 416,23 Seats available
10,Ludhiana to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi?fromCityId=736&toCityId=733&fromCityName=Ludhiana&toCityName=Delhi&busType=Any&srcCountry=null&destCountry=IND&onward=27-Jul-2024,NueGo,Electric A/C Seater (2+2),23:15,05h 50m,05:05,3.7,420,21 Seats available
