ID,Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seats Available
1,Jodhpur to Ajmer Bus,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=26-Jul-2024,RSRTC - 188046,Express Non AC Seater 2+3,14:15,04h 45m,19:00,4.2,INR 229,37 Seats available
2,Jodhpur to Ajmer Bus,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=26-Jul-2024,RSRTC - 167049,Express Non AC Seater 2+3,14:30,04h 45m,19:15,4.2,INR 229,42 Seats available
3,Jodhpur to Ajmer Bus,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=26-Jul-2024,RSRTC - 146140,Super Luxury Volvo AC Seater Pushback 2+2,14:46,04h 02m,18:48,4.2,INR 460,37 Seats available
4,Jodhpur to Ajmer Bus,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=26-Jul-2024,RSRTC - 169078,NON AC Seater / Sleeper 2+1,15:00,04h 30m,19:30,4.5,INR 302,28 Seats available
5,Jodhpur to Ajmer Bus,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=26-Jul-2024,RSRTC - 178737,Express Non AC Seater 2+3,15:30,04h 35m,20:05,4.2,INR 229,40 Seats available
6,Jodhpur to Ajmer Bus,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=26-Jul-2024,RSRTC - 190572,Express Non AC Seater 2+3,16:15,04h 45m,21:00,4.2,INR 229,29 Seats available
7,Jodhpur to Ajmer Bus,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=26-Jul-2024,RSRTC - 175650,Super Luxury Volvo AC Seater Pushback 2+2,16:30,04h 00m,20:30,4.2,INR 460,37 Seats available
8,Jodhpur to Ajmer Bus,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=26-Jul-2024,RSRTC - 160785,Super Luxury Volvo AC Seater Pushback 2+2,17:30,04h 00m,21:30,4.0,INR 460,37 Seats available
9,Jodhpur to Ajmer Bus,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=26-Jul-2024,RSRTC - 190951,Express Non AC Seater 2+3,18:00,04h 30m,22:30,4.2,INR 229,37 Seats available
10,Jodhpur to Ajmer Bus,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=26-Jul-2024,RSRTC - 193481,Express Non AC Seater 2+3,18:30,04h 30m,23:00,4.2,INR 229,33 Seats available
11,Jodhpur to Ajmer Bus,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=26-Jul-2024,RSRTC - 187140,NON AC Seater / Sleeper 2+1,19:30,04h 00m,23:30,4.2,INR 302,44 Seats available
12,Jodhpur to Ajmer Bus,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=26-Jul-2024,RSRTC - 176394,Super Luxury Volvo AC Seater Pushback 2+2,20:00,03h 45m,23:45,4.4,INR 460,18 Seats available
13,Jodhpur to Ajmer Bus,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=26-Jul-2024,RSRTC - 189473,NON AC Seater / Sleeper 2+1,21:00,04h 30m,01:30,4.2,INR 302,39 Seats available
14,Jodhpur to Ajmer Bus,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer?fromCityId=1169&toCityId=808&fromCityName=Jodhpur&toCityName=Ajmer&busType=Any&onward=26-Jul-2024,RSRTC - 193596,Express Non AC Seater 2+3,22:30,03h 30m,02:00,4.2,INR 229,32 Seats available
