ID,Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seats Available
1,Burdwan to Kolkata Bus,https://www.redbus.in/bus-tickets/burdwan-to-kolkata?fromCityId=74678&toCityId=74820&fromCityName=Burdwan&toCityName=Kolkata&busType=Any&onward=27-Jul-2024,SBSTC-BURDWAN - KARUNAMOYEE - 14:10 (BWN DEPOT) - 56,Non AC Seater (2+3),14:10,02h 30m,16:40,4.4,INR 100,37 Seats available
2,Kolkata to Durgapur (West Bengal) Bus,https://www.redbus.in/bus-tickets/kolkata-to-durgapur?fromCityId=74820&toCityId=69802&fromCityName=Kolkata&toCityName=Durgapur%20(West%20Bengal)&busType=Any&onward=27-Jul-2024,SBSTC-KOLKATA - PURULIA - VIA - ASN - 14:15 (PRL DEPOT) - 292,Non AC Seater (2+3),14:15,03h 00m,17:15,4.0,INR 150,22 Seats available
3,Digha to Kolkata Bus,https://www.redbus.in/bus-tickets/digha-to-kolkata?fromCityId=74706&toCityId=74820&fromCityName=Digha&toCityName=Kolkata&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,SBSTC-DIGHA - NAIHATI - 14:10 (BEL DEPOT) - 3694,Non AC Seater (2+3),14:10,05h 00m,19:10,2.0,INR 154,11 Seats available
4,Digha to Kolkata Bus,https://www.redbus.in/bus-tickets/digha-to-kolkata?fromCityId=74706&toCityId=74820&fromCityName=Digha&toCityName=Kolkata&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,SBSTC-DIGHA - BARASAT - 14:20 (DIGHA DEPOT) - 516,Non AC Seater (2+3),14:20,04h 30m,18:50,4.5,INR 155,21 Seats available
5,Digha to Kolkata Bus,https://www.redbus.in/bus-tickets/digha-to-kolkata?fromCityId=74706&toCityId=74820&fromCityName=Digha&toCityName=Kolkata&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,SBSTC-DIGHA - KARUNAMOYEE - A/C - 14:25 (BEL DEPOT) - 3962,AC Seater (2+2),14:25,05h 00m,19:25,2.8,INR 360,15 Seats available
6,Digha to Kolkata Bus,https://www.redbus.in/bus-tickets/digha-to-kolkata?fromCityId=74706&toCityId=74820&fromCityName=Digha&toCityName=Kolkata&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,SBSTC-DIGHA - KARUNAMOYEE - VIA - KOLKATA - 14:25 (VOLVO - 3708,Volvo AC Seater (2+2),14:25,04h 30m,18:55,4.1,INR 410,20 Seats available
7,Digha to Kolkata Bus,https://www.redbus.in/bus-tickets/digha-to-kolkata?fromCityId=74706&toCityId=74820&fromCityName=Digha&toCityName=Kolkata&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,SBSTC-DIGHA - THAKURPUR - 14:30 (DIG DEPOT) - 839,Non AC Seater (2+3),14:30,04h 30m,19:00,2.5,INR 155,6 Seats available
8,Digha to Kolkata Bus,https://www.redbus.in/bus-tickets/digha-to-kolkata?fromCityId=74706&toCityId=74820&fromCityName=Digha&toCityName=Kolkata&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,SBSTC-DIGHA - GARIA - VIA - KOLKATA - 14:40 (FALTA DEPOT - 3489,Non AC Seater (2+3),14:40,05h 30m,20:10,2.9,INR 162,40 Seats available
9,Digha to Kolkata Bus,https://www.redbus.in/bus-tickets/digha-to-kolkata?fromCityId=74706&toCityId=74820&fromCityName=Digha&toCityName=Kolkata&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,SBSTC-DIGHA - GARIA - A/C - 14:50 (DIG DEPOT) - 735,AC Seater (2+2),14:50,04h 30m,19:20,2.5,INR 310,45 Seats available
10,Digha to Kolkata Bus,https://www.redbus.in/bus-tickets/digha-to-kolkata?fromCityId=74706&toCityId=74820&fromCityName=Digha&toCityName=Kolkata&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,SBSTC-DIGHA - GARIA - VIA - KOLKATA - 15:10 - 734,Non AC Seater (2+3),15:10,05h 30m,20:40,4.5,INR 162,21 Seats available
