ID,Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seats Available
1,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,TSRTC - 64089,RAJDHANI (A.C. Semi Sleeper),18:00,04h 00m,22:00,3.5,INR 389,35 Seats available
2,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,TSRTC - 1952,Lahari A/C sleeper,18:10,03h 35m,21:45,3.3,INR 389,28 Seats available
3,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,TSRTC - 4172,RAJADHANI AC (CONVERTED METRO LUXURY),18:30,04h 00m,22:30,4.1,INR 389,13 Seats available
4,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,TSRTC - 64022,RAJDHANI (A.C. Semi Sleeper),19:00,04h 00m,23:00,2.9,INR 389,18 Seats available
5,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,TSRTC - 8677,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:30,04h 10m,23:40,4.4,INR 320,35 Seats available
6,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,TSRTC - 8625,RAJDHANI (A.C. Semi Sleeper),21:00,04h 00m,01:00,3.6,INR 389,29 Seats available
7,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,TSRTC - 8619,RAJDHANI (A.C. Semi Sleeper),22:00,04h 00m,02:00,4.0,INR 389,26 Seats available
8,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,TSRTC - 64593,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,03h 55m,02:25,4.7,INR 320,35 Seats available
9,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,TSRTC - 8827,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:55,04h 25m,03:20,4.8,INR 320,26 Seats available
10,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,TSRTC - 4166,RAJADHANI AC (CONVERTED METRO LUXURY),23:00,04h 00m,03:00,4.6,INR 389,27 Seats available
11,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,TSRTC - 8644,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:10,04h 10m,03:20,3.9,INR 320,29 Seats available
12,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,TSRTC - 8992,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:25,03h 55m,03:20,4.7,INR 320,29 Seats available
13,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,TSRTC - 64008,RAJDHANI (A.C. Semi Sleeper),23:35,04h 00m,03:35,4.4,INR 389,10 Seats available
14,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,TSRTC - 8805,RAJDHANI (A.C. Semi Sleeper),23:45,03h 45m,03:30,3.7,INR 389,16 Seats available
15,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,TSRTC - 7646,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:55,04h 35m,04:30,3.8,INR 320,1 Seat available
16,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,TSRTC - 8600,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:55,05h 25m,05:20,4.6,INR 320,10 Seats available
17,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,TSRTC - 1323,Lahari A/C sleeper,23:55,03h 35m,03:30,3.8,INR 389,21 Seats available
18,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,Sri KVR Travels,A/C Sleeper (2+1),23:20,05h 40m,05:00,3.7,INR 580,12 Seats available
19,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,BSR Tours And Travels,NON A/C Seater (2+2),23:40,06h 20m,06:00,4.2,INR 450,16 Seats available
20,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:40,05h 20m,05:00,4.6,INR 780,12 Seats available
21,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06h 15m,06:00,3.8,INR 400,10 Seats available
22,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,RRR Travels,A/C Seater / Sleeper (2+1),23:50,05h 40m,05:30,4.3,INR 500,15 Seats available
23,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,Sri Krishna Travels(VGN),NON A/C Hi-Tech (2+2),23:55,05h 30m,05:25,3.4,INR 350,18 Seats available
24,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,Bharathi Tours & Travels,A/C Sleeper (2+1),23:59,05h 01m,05:00,3.6,INR 666,11 Seats available
25,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,Sri Krishna Travels(VGN),Non A/C Seater / Sleeper (2+1),23:59,06h 11m,06:10,3.1,INR 500,10 Seats available
26,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),23:59,05h 01m,05:00,3.9,INR 470,9 Seats available
27,Khammam to Hyderabad Bus,https://www.redbus.in/bus-tickets/khammam-to-hyderabad?fromCityId=401&toCityId=124&fromCityName=Khammam&toCityName=Hyderabad&busType=Any&srcCountry=IND&destCountry=IND&onward=22-Jul-2024,SAIRAJ TRAVELS,NON A/C Seater (2+2),23:59,05h 31m,05:30,3.5,INR 500,3 Seats available
