ID,Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seats Available
1,Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi?fromCityId=1437&toCityId=733&fromCityName=Bareilly%20(Uttar%20Pradesh)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,UPSRTC - RKD0130,Janrath AC Seater 2+3,17:31,05h 00m,22:31,2.4,INR 520,52 Seats available
2,Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi?fromCityId=1437&toCityId=733&fromCityName=Bareilly%20(Uttar%20Pradesh)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,UPSRTC - HDD0030,Ordinary Non AC Seater 2+3,18:57,08h 03m,03:00,3.3,INR 450,52 Seats available
3,Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi?fromCityId=1437&toCityId=733&fromCityName=Bareilly%20(Uttar%20Pradesh)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,UPSRTC - BLY0111,Janrath AC Seater 2+2,19:01,04h 44m,23:45,3.2,INR 598,36 Seats available
4,Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi?fromCityId=1437&toCityId=733&fromCityName=Bareilly%20(Uttar%20Pradesh)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,UPSRTC - HDD0063,Ordinary Non AC Seater 2+3,19:39,05h 24m,01:03,3.3,INR 415,52 Seats available
5,Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi?fromCityId=1437&toCityId=733&fromCityName=Bareilly%20(Uttar%20Pradesh)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,UPSRTC - RKD0128,Janrath AC Seater 2+2,20:01,05h 00m,01:01,4.1,INR 598,36 Seats available
6,Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi?fromCityId=1437&toCityId=733&fromCityName=Bareilly%20(Uttar%20Pradesh)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,UPSRTC - STD0354,Ordinary Non AC Seater 2+3,21:27,06h 15m,03:42,3.3,INR 448,52 Seats available
7,Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi?fromCityId=1437&toCityId=733&fromCityName=Bareilly%20(Uttar%20Pradesh)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,UPSRTC - BLY0139,Janrath AC Seater 2+2,21:31,05h 59m,03:30,3.1,INR 598,35 Seats available
8,Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi?fromCityId=1437&toCityId=733&fromCityName=Bareilly%20(Uttar%20Pradesh)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,UPSRTC - HDD0091,Ordinary Non AC Seater 2+3,21:58,06h 31m,04:29,3.2,INR 444,52 Seats available
9,Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi?fromCityId=1437&toCityId=733&fromCityName=Bareilly%20(Uttar%20Pradesh)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,UPSRTC - RKD0121,Shatabdi AC Seater 2+2,22:01,05h 00m,03:01,3.3,INR 598,36 Seats available
10,Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi?fromCityId=1437&toCityId=733&fromCityName=Bareilly%20(Uttar%20Pradesh)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,UPSRTC - STD0163,Ordinary Non AC Seater 2+3,22:09,07h 16m,05:25,3.3,INR 448,52 Seats available
11,Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi?fromCityId=1437&toCityId=733&fromCityName=Bareilly%20(Uttar%20Pradesh)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,UPSRTC - HDD0005,Janrath AC Seater 2+2,22:45,06h 45m,05:30,2.5,INR 602,52 Seats available
12,Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi?fromCityId=1437&toCityId=733&fromCityName=Bareilly%20(Uttar%20Pradesh)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,UPSRTC - STD0296,Ordinary Non AC Seater 2+3,23:13,07h 18m,06:31,3.3,INR 448,37 Seats available
13,Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi?fromCityId=1437&toCityId=733&fromCityName=Bareilly%20(Uttar%20Pradesh)&toCityName=Delhi&busType=Any&srcCountry=IND&destCountry=IND&onward=27-Jul-2024,UPSRTC - STD0356,Ordinary Non AC Seater 2+3,23:18,06h 45m,06:03,3.3,INR 448,51 Seats available
