ID,Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seats Available
1,Kolkata to Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&onward=27-Jul-2024,WBTC (CTC) Kolkata - Digha - 124|14:40,Non AC Seater (2+3),14:40,04h 25m,19:05,3.7,INR 145,36 Seats available
2,Kolkata to Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&onward=27-Jul-2024,WBTC (CTC) SHYAMBAZAR - DIGHA VIA- ESPLANADE (AC-VOLVO) - 52|14:45,Volvo AC Seater (2+2),14:45,05h 15m,20:00,3.4,INR 370,13 Seats available
3,Kolkata to Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&onward=27-Jul-2024,WBTC (CTC) Belgachia - Digha via Esplanade - 51|14:45,Non AC Seater (2+3),14:45,05h 25m,20:10,3.4,INR 155,31 Seats available
4,Kolkata to Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&onward=27-Jul-2024,WBTC (CTC) SHYAMBAZAR - DIGHA VIA- ESPLANADE (AC-VOLVO) - 52|15:45,Volvo AC Seater (2+2),15:45,04h 15m,20:00,3.5,INR 370,9 Seats available
5,Kolkata to Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&onward=27-Jul-2024,WBTC (CTC) Belgachia - Digha via Esplanade - 51|15:45,Non AC Seater (2+3),15:45,04h 25m,20:10,3.1,INR 145,29 Seats available
6,Kolkata to Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&onward=27-Jul-2024,WBTC (CTC) Khidderpur - Digha - 97|16:00,Non AC Seater (2+3),16:00,05h 00m,21:00,3.4,INR 151,25 Seats available
7,Kolkata to Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&onward=27-Jul-2024,WBTC (CTC) Khidderpur - Digha - 97|16:45,Non AC Seater (2+3),16:45,04h 15m,21:00,3.2,INR 145,14 Seats available
8,Kolkata to Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&onward=27-Jul-2024,Express Line,Volvo A/C Seater (2+2),23:45,05h 00m,04:45,4.5,INR 599,31 Seats available
9,Kolkata to Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&onward=27-Jul-2024,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,05h 00m,04:30,4.4,495,34 Seats available
10,Kolkata to Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&onward=27-Jul-2024,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),23:45,05h 00m,04:45,4.5,INR 550,12 Seats available
