ID,Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seats Available
1,Digha to Barasat (West Bengal) Bus,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal?fromCityId=74706&toCityId=201668&fromCityName=Digha&toCityName=Barasat%20(West%20Bengal)&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,WBTC (CTC) HABRA-DIGHA via Bally - 26|14:50,Non AC Seater (2+3),14:50,04h 45m,19:35,3.5,INR 161,27 Seats available
2,Digha to Barasat (West Bengal) Bus,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal?fromCityId=74706&toCityId=201668&fromCityName=Digha&toCityName=Barasat%20(West%20Bengal)&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,WBTC (CTC) MADHYAMGRAM - DIGHA via Belghoria - 130|16:00,Non AC Seater (2+3),16:00,05h 05m,21:05,3.4,INR 161,26 Seats available
3,Digha to Barasat (West Bengal) Bus,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal?fromCityId=74706&toCityId=201668&fromCityName=Digha&toCityName=Barasat%20(West%20Bengal)&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,WBTC (CTC) BARASAT-DIGHA via Bally - 38|16:45,Non AC Seater (2+3),16:45,04h 25m,21:10,2.5,INR 161,25 Seats available
4,Digha to Barasat (West Bengal) Bus,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal?fromCityId=74706&toCityId=201668&fromCityName=Digha&toCityName=Barasat%20(West%20Bengal)&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,The Joy Ride,A/C Seater / Sleeper (2+2),21:15,06h 20m,03:35,3.2,INR 650,21 Seats available
5,Digha to Barasat (West Bengal) Bus,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal?fromCityId=74706&toCityId=201668&fromCityName=Digha&toCityName=Barasat%20(West%20Bengal)&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Snemita Paribahan (Shinjini),AC Seater (2+3),23:35,05h 25m,05:00,3.2,INR 420,54 Seats available
6,Kolkata to Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,WBTC (CTC) Kolkata - Digha - 124|14:40,Non AC Seater (2+3),14:40,04h 25m,19:05,3.7,INR 145,36 Seats available
7,Kolkata to Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,WBTC (CTC) Belgachia - Digha via Esplanade - 51|14:45,Non AC Seater (2+3),14:45,05h 25m,20:10,3.3,INR 155,15 Seats available
8,Kolkata to Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,WBTC (CTC) Belgachia - Digha via Esplanade - 51|15:45,Non AC Seater (2+3),15:45,04h 25m,20:10,3.1,INR 145,10 Seats available
9,Kolkata to Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,WBTC (CTC) Khidderpur - Digha - 97|16:00,Non AC Seater (2+3),16:00,05h 00m,21:00,3.3,INR 151,8 Seats available
10,Kolkata to Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,WBTC (CTC) Khidderpur - Digha - 97|16:45,Non AC Seater (2+3),16:45,04h 15m,21:00,3.2,INR 145,6 Seats available
